name,phone,certificate,birth,address,received_at,status,route,note
조정자,010-9935-2424,한식조리기능사,1954-11-04,서울 서울남부시험장,2026-08-11 12:14:00,접수완료,가족보조,기능사
우복남,010-1106-3615,지게차운전기능사,1956-09-20,서울 서울남부시험장,2026-08-12 12:48:00,접수완료,가족보조,기능사
박두만,010-8527-9785,굴착기운전기능사,1958-06-04,대구 대구시험장,2026-08-14 14:36:00,접수완료,가족보조,기능사
권춘희,010-7227-5554,한식조리기능사,1963-04-23,대구 대구시험장,2026-08-15 12:42:00,접수완료,본인단독,기능사
손복남,010-4598-6313,전기기능사,1962-05-23,대구 대구시험장,2026-08-16 13:04:00,접수완료,본인단독,기능사
임복남,010-3287-5040,한식조리기능사,1955-04-19,충북 청주시험장,2026-08-19 15:57:00,접수완료,가족보조,기능사
강운순,010-1771-2796,한식조리기능사,1964-10-13,충남 천안시험장,2026-08-16 10:24:00,접수완료,본인단독,기능사
윤일남,010-9797-5371,전기기능사,1957-07-20,경북 포항시험장,2026-08-17 09:46:00,접수완료,복지관,기능사
전삼석,010-9317-4258,지게차운전기능사,1953-12-09,제주 제주시험장,2026-08-18 17:58:00,접수완료,대리접수,기능사
전경자,010-1949-4946,굴착기운전기능사,1963-01-20,충북 청주시험장,2026-08-17 10:48:00,접수완료,본인단독,기능사
서필호,010-6107-7537,한식조리기능사,1936-09-06,경기 고양시험장,2026-08-17 16:07:00,취소,본인단독,기능사
박영수,010-2160-9423,한식조리기능사,1965-10-18,세종 세종시험장,2026-08-05 20:59:00,접수완료,복지관,기능사
최정자,010-2612-1993,한식조리기능사,1936-07-07,인천 인천시험장,2026-08-07 17:28:00,접수완료,본인단독,기능사
김옥분,010-4872-3724,한식조리기능사,1937-04-28,대구 대구시험장,2026-08-02 11:24:00,접수완료,본인단독,기능사
최갑순,010-6138-1936,한식조리기능사,1937-05-14,경남 창원시험장,2026-08-17 11:03:00,접수완료,복지관,기능사
